,year,month,day,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend,week_Fri,week_Mon,week_Sat,week_Sun,week_Thurs,week_Tues,week_Wed
174,2016,6,26,69,71,71.9,78,67,74,72,70,0,0,0,1,0,0,0
175,2016,6,27,71,78,72.2,85,70,74,72,84,0,1,0,0,0,0,0
176,2016,6,28,78,85,72.4,79,72,76,74,67,0,0,0,0,0,1,0
177,2016,6,29,85,79,72.6,74,68,76,74,81,0,0,0,0,0,0,1
178,2016,6,30,79,74,72.8,73,71,76,72,87,0,0,0,0,1,0,0
179,2016,7,1,74,73,73.1,76,71,75,72,93,1,0,0,0,0,0,0
180,2016,7,2,73,76,73.3,76,70,77,73,84,0,0,1,0,0,0,0
181,2016,7,3,76,76,73.5,71,69,76,75,85,0,0,0,1,0,0,0
182,2016,7,4,76,71,73.8,68,71,76,73,86,0,1,0,0,0,0,0
183,2016,7,5,71,68,74.0,69,72,77,74,62,0,0,0,0,0,1,0
184,2016,7,6,68,69,74.2,76,72,76,75,86,0,0,0,0,0,0,1
185,2016,7,7,69,76,74.4,68,73,77,74,72,0,0,0,0,1,0,0
186,2016,7,8,76,68,74.6,74,72,79,75,77,1,0,0,0,0,0,0
187,2016,7,9,68,74,74.9,71,70,79,76,60,0,0,1,0,0,0,0
188,2016,7,10,74,71,75.1,74,71,77,76,95,0,0,0,1,0,0,0
189,2016,7,11,71,74,75.3,74,74,79,75,71,0,1,0,0,0,0,0
190,2016,7,12,74,74,75.4,77,74,77,77,71,0,0,0,0,0,1,0
191,2016,7,13,74,77,75.6,75,74,78,76,56,0,0,0,0,0,0,1
192,2016,7,14,77,75,75.8,77,74,76,77,77,0,0,0,0,1,0,0
193,2016,7,15,75,77,76.0,76,74,80,78,75,1,0,0,0,0,0,0
194,2016,7,16,77,76,76.1,72,76,78,75,61,0,0,1,0,0,0,0
195,2016,7,17,76,72,76.3,80,76,78,77,88,0,0,0,1,0,0,0
196,2016,7,18,72,80,76.4,73,75,77,75,66,0,1,0,0,0,0,0
197,2016,7,19,80,73,76.6,78,76,78,77,90,0,0,0,0,0,1,0
198,2016,7,20,73,78,76.7,82,75,78,77,66,0,0,0,0,0,0,1
199,2016,7,21,78,82,76.8,81,73,81,78,84,0,0,0,0,1,0,0
200,2016,7,22,82,81,76.9,71,72,77,76,70,1,0,0,0,0,0,0
201,2016,7,23,81,71,77.0,75,75,81,76,86,0,0,1,0,0,0,0
202,2016,7,24,71,75,77.1,80,76,78,78,75,0,0,0,1,0,0,0
203,2016,7,25,75,80,77.1,85,75,82,76,81,0,1,0,0,0,0,0
204,2016,7,26,80,85,77.2,79,73,79,76,74,0,0,0,0,0,1,0
205,2016,7,27,85,79,77.3,83,73,78,79,79,0,0,0,0,0,0,1
206,2016,7,28,79,83,77.3,85,76,80,78,76,0,0,0,0,1,0,0
207,2016,7,29,83,85,77.3,88,77,80,79,77,1,0,0,0,0,0,0
208,2016,7,30,85,88,77.3,76,75,79,77,70,0,0,1,0,0,0,0
209,2016,7,31,88,76,77.4,73,76,78,79,95,0,0,0,1,0,0,0
210,2016,8,1,76,73,77.4,77,76,78,79,65,0,1,0,0,0,0,0
211,2016,8,2,73,77,77.4,73,75,80,79,62,0,0,0,0,0,1,0
212,2016,8,3,77,73,77.3,75,77,81,77,93,0,0,0,0,0,0,1
213,2016,8,4,73,75,77.3,80,73,79,78,66,0,0,0,0,1,0,0
214,2016,8,5,75,80,77.3,79,75,81,78,71,1,0,0,0,0,0,0
215,2016,8,6,80,79,77.2,72,76,81,79,60,0,0,1,0,0,0,0
216,2016,8,7,79,72,77.2,72,74,78,77,95,0,0,0,1,0,0,0
217,2016,8,8,72,72,77.1,73,76,78,77,65,0,1,0,0,0,0,0
218,2016,8,9,72,73,77.1,72,77,80,79,94,0,0,0,0,0,1,0
219,2016,8,10,73,72,77.0,76,77,78,77,68,0,0,0,0,0,0,1
220,2016,8,11,72,76,76.9,80,74,81,75,80,0,0,0,0,1,0,0
221,2016,8,12,76,80,76.9,87,72,79,77,81,1,0,0,0,0,0,0
222,2016,8,13,80,87,76.8,90,73,79,78,73,0,0,1,0,0,0,0
223,2016,8,14,87,90,76.7,83,75,78,78,65,0,0,0,1,0,0,0
224,2016,8,15,90,83,76.6,84,76,79,75,70,0,1,0,0,0,0,0
225,2016,8,16,83,84,76.5,81,72,78,78,90,0,0,0,0,0,1,0
226,2016,8,23,84,81,75.7,79,73,78,77,89,0,0,0,0,0,1,0
227,2016,8,28,81,79,75.0,75,71,77,76,85,0,0,0,1,0,0,0
228,2016,8,30,79,75,74.6,70,74,76,75,63,0,0,0,0,0,1,0
229,2016,9,3,75,70,73.9,67,71,75,73,68,0,0,1,0,0,0,0
230,2016,9,4,70,67,73.7,68,72,77,75,64,0,0,0,1,0,0,0
231,2016,9,5,67,68,73.5,68,71,75,73,54,0,1,0,0,0,0,0
232,2016,9,6,68,68,73.3,68,73,76,75,79,0,0,0,0,0,1,0
233,2016,9,7,68,68,73.0,67,72,78,71,70,0,0,0,0,0,0,1
234,2016,9,8,68,67,72.8,72,69,77,73,56,0,0,0,0,1,0,0
235,2016,9,9,67,72,72.6,74,68,77,71,78,1,0,0,0,0,0,0
236,2016,9,10,72,74,72.3,77,70,77,74,91,0,0,1,0,0,0,0
237,2016,9,11,74,77,72.1,70,69,75,71,70,0,0,0,1,0,0,0
238,2016,9,12,77,70,71.8,74,67,73,73,90,0,1,0,0,0,0,0
239,2016,9,13,70,74,71.5,75,71,75,70,82,0,0,0,0,0,1,0
240,2016,9,14,74,75,71.2,79,67,75,73,77,0,0,0,0,0,0,1
241,2016,9,15,75,79,71.0,71,66,76,69,64,0,0,0,0,1,0,0
242,2016,9,16,79,71,70.7,75,70,74,71,52,1,0,0,0,0,0,0
243,2016,9,17,71,75,70.3,68,66,73,70,84,0,0,1,0,0,0,0
244,2016,9,18,75,68,70.0,69,66,73,71,90,0,0,0,1,0,0,0
245,2016,9,19,68,69,69.7,71,65,74,71,88,0,1,0,0,0,0,0
246,2016,9,20,69,71,69.4,67,67,73,69,81,0,0,0,0,0,1,0
247,2016,9,21,71,67,69.0,68,65,70,70,76,0,0,0,0,0,0,1
248,2016,9,22,67,68,68.7,67,65,70,69,56,0,0,0,0,1,0,0
249,2016,9,23,68,67,68.3,64,67,69,67,61,1,0,0,0,0,0,0
250,2016,9,24,67,64,68.0,67,65,71,66,64,0,0,1,0,0,0,0
251,2016,9,25,64,67,67.6,76,64,72,67,62,0,0,0,1,0,0,0
252,2016,9,26,67,76,67.2,77,64,69,69,74,0,1,0,0,0,0,0
253,2016,9,27,76,77,66.8,69,66,67,68,64,0,0,0,0,0,1,0
254,2016,9,28,77,69,66.5,68,66,68,66,62,0,0,0,0,0,0,1
255,2016,9,29,69,68,66.1,66,63,71,68,57,0,0,0,0,1,0,0
256,2016,9,30,68,66,65.7,67,64,67,65,74,1,0,0,0,0,0,0
257,2016,10,1,66,67,65.3,63,64,70,64,54,0,0,1,0,0,0,0
258,2016,10,2,67,63,64.9,65,62,69,66,82,0,0,0,1,0,0,0
259,2016,10,3,63,65,64.5,61,63,68,65,49,0,1,0,0,0,0,0
260,2016,10,4,65,61,64.1,63,62,69,65,60,0,0,0,0,0,1,0
261,2016,10,5,61,63,63.7,66,61,66,65,48,0,0,0,0,0,0,1
262,2016,10,6,63,66,63.3,63,62,67,63,55,0,0,0,0,1,0,0
263,2016,10,7,66,63,62.9,64,62,67,64,78,1,0,0,0,0,0,0
264,2016,10,8,63,64,62.5,68,60,65,61,73,0,0,1,0,0,0,0
265,2016,10,9,64,68,62.1,57,58,65,63,55,0,0,0,1,0,0,0
266,2016,10,10,68,57,61.8,60,58,64,61,62,0,1,0,0,0,0,0
267,2016,10,11,57,60,61.4,62,58,66,61,58,0,0,0,0,0,1,0
268,2016,10,12,60,62,61.0,66,60,63,63,52,0,0,0,0,0,0,1
269,2016,10,13,62,66,60.6,60,60,62,60,57,0,0,0,0,1,0,0
270,2016,10,14,66,60,60.2,60,56,64,60,78,1,0,0,0,0,0,0
271,2016,10,15,60,60,59.9,62,59,62,59,46,0,0,1,0,0,0,0
272,2016,10,16,60,62,59.5,60,57,60,59,40,0,0,0,1,0,0,0
273,2016,10,17,62,60,59.1,60,57,63,59,62,0,1,0,0,0,0,0
274,2016,10,18,60,60,58.8,61,54,60,57,53,0,0,0,0,0,1,0
275,2016,10,19,60,61,58.4,58,58,60,57,41,0,0,0,0,0,0,1
276,2016,10,20,61,58,58.1,62,58,59,58,43,0,0,0,0,1,0,0
277,2016,10,21,58,62,57.8,59,56,60,59,44,1,0,0,0,0,0,0
278,2016,10,22,62,59,57.4,62,56,59,58,44,0,0,1,0,0,0,0
279,2016,10,23,59,62,57.1,62,57,58,59,67,0,0,0,1,0,0,0
280,2016,10,24,62,62,56.8,61,52,61,57,70,0,1,0,0,0,0,0
281,2016,10,25,62,61,56.5,65,53,60,55,70,0,0,0,0,0,1,0
282,2016,10,26,61,65,56.2,58,53,57,57,41,0,0,0,0,0,0,1
283,2016,10,27,65,58,55.9,60,51,60,55,39,0,0,0,0,1,0,0
284,2016,10,28,58,60,55.6,65,52,56,55,52,1,0,0,0,0,0,0
285,2016,10,29,60,65,55.3,68,55,59,55,65,0,0,1,0,0,0,0
286,2016,10,31,65,117,54.8,59,51,59,56,62,0,1,0,0,0,0,0
287,2016,11,1,117,59,54.5,57,51,59,55,61,0,0,0,0,0,1,0
288,2016,11,2,59,57,54.2,57,54,58,55,70,0,0,0,0,0,0,1
289,2016,11,3,57,57,53.9,65,53,54,54,35,0,0,0,0,1,0,0
290,2016,11,4,57,65,53.7,65,49,55,54,38,1,0,0,0,0,0,0
291,2016,11,5,65,65,53.4,58,49,58,52,41,0,0,1,0,0,0,0
292,2016,11,6,65,58,53.2,61,52,57,55,71,0,0,0,1,0,0,0
293,2016,11,7,58,61,52.9,63,51,56,51,35,0,1,0,0,0,0,0
294,2016,11,8,61,63,52.7,71,49,57,52,49,0,0,0,0,0,1,0
295,2016,11,9,63,71,52.4,65,48,56,52,42,0,0,0,0,0,0,1
296,2016,11,10,71,65,52.2,64,52,54,51,38,0,0,0,0,1,0,0
297,2016,11,11,65,64,51.9,63,50,53,52,55,1,0,0,0,0,0,0
298,2016,11,12,64,63,51.7,59,50,52,52,63,0,0,1,0,0,0,0
299,2016,11,13,63,59,51.4,55,48,56,50,64,0,0,0,1,0,0,0
300,2016,11,14,59,55,51.2,57,49,53,53,42,0,1,0,0,0,0,0
301,2016,11,15,55,57,51.0,55,47,54,51,46,0,0,0,0,0,1,0
302,2016,11,16,57,55,50.7,50,50,51,49,34,0,0,0,0,0,0,1
303,2016,11,17,55,50,50.5,52,46,51,50,57,0,0,0,0,1,0,0
304,2016,11,18,50,52,50.3,55,50,53,50,35,1,0,0,0,0,0,0
305,2016,11,19,52,55,50.0,57,50,54,49,56,0,0,1,0,0,0,0
306,2016,11,20,55,57,49.8,55,47,54,48,30,0,0,0,1,0,0,0
307,2016,11,21,57,55,49.5,54,46,51,49,67,0,1,0,0,0,0,0
308,2016,11,22,55,54,49.3,54,46,54,49,58,0,0,0,0,0,1,0
309,2016,11,23,54,54,49.1,49,48,52,49,38,0,0,0,0,0,0,1
310,2016,11,24,54,49,48.9,52,47,53,48,29,0,0,0,0,1,0,0
311,2016,11,25,49,52,48.6,52,45,52,47,41,1,0,0,0,0,0,0
312,2016,11,26,52,52,48.4,53,48,50,47,58,0,0,1,0,0,0,0
313,2016,11,27,52,53,48.2,48,48,49,49,53,0,0,0,1,0,0,0
314,2016,11,28,53,48,48.0,52,46,48,49,44,0,1,0,0,0,0,0
315,2016,11,29,48,52,47.8,52,43,48,47,50,0,0,0,0,0,1,0
316,2016,11,30,52,52,47.6,52,47,52,49,44,0,0,0,0,0,0,1
317,2016,12,1,52,52,47.4,46,44,48,49,39,0,0,0,0,1,0,0
318,2016,12,2,52,46,47.2,50,46,51,49,41,1,0,0,0,0,0,0
319,2016,12,3,46,50,47.0,49,42,52,47,58,0,0,1,0,0,0,0
320,2016,12,4,50,49,46.8,46,45,47,47,53,0,0,0,1,0,0,0
321,2016,12,5,49,46,46.6,40,43,50,45,65,0,1,0,0,0,0,0
322,2016,12,6,46,40,46.4,42,44,50,45,56,0,0,0,0,0,1,0
323,2016,12,7,40,42,46.3,40,44,51,46,62,0,0,0,0,0,0,1
324,2016,12,8,42,40,46.1,41,45,51,47,36,0,0,0,0,1,0,0
325,2016,12,9,40,41,46.0,36,43,51,44,54,1,0,0,0,0,0,0
326,2016,12,10,41,36,45.9,44,44,48,44,65,0,0,1,0,0,0,0
327,2016,12,11,36,44,45.7,44,41,46,47,35,0,0,0,1,0,0,0
328,2016,12,12,44,44,45.6,43,43,50,45,42,0,1,0,0,0,0,0
329,2016,12,13,44,43,45.5,40,41,47,46,46,0,0,0,0,0,1,0
330,2016,12,14,43,40,45.4,39,45,48,45,49,0,0,0,0,0,0,1
331,2016,12,15,40,39,45.3,39,45,49,47,46,0,0,0,0,1,0,0
332,2016,12,16,39,39,45.3,35,44,49,44,39,1,0,0,0,0,0,0
333,2016,12,17,39,35,45.2,35,43,47,46,38,0,0,1,0,0,0,0
334,2016,12,18,35,35,45.2,39,44,46,46,36,0,0,0,1,0,0,0
335,2016,12,19,35,39,45.1,46,42,46,45,51,0,1,0,0,0,0,0
336,2016,12,20,39,46,45.1,51,45,49,45,62,0,0,0,0,0,1,0
337,2016,12,21,46,51,45.1,49,44,50,46,39,0,0,0,0,0,0,1
338,2016,12,22,51,49,45.1,45,42,47,46,38,0,0,0,0,1,0,0
339,2016,12,23,49,45,45.1,40,45,49,44,35,1,0,0,0,0,0,0
340,2016,12,24,45,40,45.1,41,44,47,46,39,0,0,1,0,0,0,0
341,2016,12,25,40,41,45.1,42,42,49,44,31,0,0,0,1,0,0,0
342,2016,12,26,41,42,45.2,42,45,48,46,58,0,1,0,0,0,0,0
343,2016,12,27,42,42,45.2,47,41,50,47,47,0,0,0,0,0,1,0
344,2016,12,28,42,47,45.3,48,41,49,44,58,0,0,0,0,0,0,1
345,2016,12,29,47,48,45.3,48,43,50,45,65,0,0,0,0,1,0,0
346,2016,12,30,48,48,45.4,57,44,46,44,42,1,0,0,0,0,0,0
347,2016,12,31,48,57,45.5,40,42,48,47,57,0,0,1,0,0,0,0
